YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,TYPE,FOB_USD,SOY_EQUIVALENT_TONNES
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,RIOS SAC,RIOS SAC,CAMEROON,Soy bean equivalents,930472,2069.07
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,RIOS SAC,RIOS SAC,CAMEROON,Soy bean equivalents,417570,851.7
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,SAN FERNANDO S A,SAN FERNANDO S A,CAMEROON,Soy bean equivalents,690655,1533.57
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,SEPAL IMPORTACIONES S A C,SEPAL IMPORTACIONES S A C,CAMEROON,Soy bean equivalents,13350,30.6
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,TICONA TICONA RAMONA PAULINA,TICONA TICONA RAMONA PAULINA,CAMEROON,Soy bean equivalents,15080,29.58
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,AGROPECUARIA GOLD PIG S A C,AGROPECUARIA GOLD PIG S A C,CAMEROON,Soy bean equivalents,46400,118.32
2014,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,ALIMENTOS BALANCEADOS DEL PERU S A,ALIMENTOS BALANCEADOS DEL PERU S A,CAMEROON,Soy bean equivalents,42895,117.3
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,2660892,7106.85
2014,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,1162380,3056.43
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,BR NEGOCIOS Y REPRESENTACIONES EIRL,BR NEGOCIOS Y REPRESENTACIONES EIRL,CAMEROON,Soy bean equivalents,87240,228.48
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,IMISER SAC,IMISER SAC,CAMEROON,Soy bean equivalents,40890,119.85
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,INVERSIONES PRESMONT S A C,INVERSIONES PRESMONT S A C,CAMEROON,Soy bean equivalents,43125,117.3
2014,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,INVERSIONES PRESMONT S A C,INVERSIONES PRESMONT S A C,CAMEROON,Soy bean equivalents,150615,389.64
