YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES
2015,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,ITALY,EUROPEAN UNION,Coffee equivalents,51315,18.975
2017,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,ITALY,EUROPEAN UNION,Coffee equivalents,51686.25,18.975
2018,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,ITALY,EUROPEAN UNION,Coffee equivalents,124719.3,56.925
2014,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,JAPAN,JAPAN,Coffee equivalents,81221.25,18.975
2013,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,243975,80.975
2013,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,NORWAY,NORWAY,Coffee equivalents,54450,18.975
2013,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,54037.5,18.975
2013,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,UNITED STATES,UNITED STATES,Coffee equivalents,269610,94.875
2015,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,UNITED STATES,UNITED STATES,Coffee equivalents,175951.88,56.925
2016,PERU,PUERTO DEL CALLAO,N B TEALDO Y CIA S A,N B TEALDO Y CIA S A,UNITED STATES,UNITED STATES,Coffee equivalents,105187.5,37.95
2018,PERU,PUERTO DEL CALLAO,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,CANADA,CANADA,Coffee equivalents,75933,37.95
2017,PERU,PUERTO DEL CALLAO,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,GERMANY,EUROPEAN UNION,Coffee equivalents,2443027.39,727.36
2018,PERU,PUERTO DEL CALLAO,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,GERMANY,EUROPEAN UNION,Coffee equivalents,427226.4,120.75
2018,PERU,PUERTO DEL CALLAO,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,ITALY,EUROPEAN UNION,Coffee equivalents,51150,18.975
2017,PERU,PUERTO DEL CALLAO,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,JAPAN,JAPAN,Coffee equivalents,46921.88,18.975
2018,PERU,PUERTO DEL CALLAO,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,JAPAN,JAPAN,Coffee equivalents,47499.4,18.975
2017,PERU,PUERTO DEL CALLAO,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,UNITED STATES,UNITED STATES,Coffee equivalents,299124.61,75.255
2018,PERU,PUERTO DEL CALLAO,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,NEGOCIACIONES AGROINDUSTRIAL AREVALO S A,UNITED STATES,UNITED STATES,Coffee equivalents,650299.2,247.641
2013,PERU,PUERTO DEL CALLAO,NEGOCIACIONES Y EXPORTACIONES LLACTA SOC,NEGOCIACIONES Y EXPORTACIONES LLACTA SOC,UNITED STATES,UNITED STATES,Coffee equivalents,204393.75,75.84
2013,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,199629.38,75.9
2014,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,101611.71,18.975
2015,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,104414.5,18.975
2016,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,57791.25,18.975
2018,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,BELGIUM,EUROPEAN UNION,Coffee equivalents,132289,56.925
2017,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,CANADA,CANADA,Coffee equivalents,233351.25,75.9
2018,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,DENMARK,EUROPEAN UNION,Coffee equivalents,47115,20.7
2017,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,FRANCE,EUROPEAN UNION,Coffee equivalents,66932.33,18.975
2013,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,4568696.12,1343.89
2014,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,2324832.01,571.755
2015,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,4070803.42,1216.385
2016,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,4538104.89,1375.375
2017,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,5387512.92,1750.91
2018,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,GERMANY,EUROPEAN UNION,Coffee equivalents,5007695.3,1833.53
2017,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,ITALY,EUROPEAN UNION,Coffee equivalents,63718.88,19.67
2018,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,ITALY,EUROPEAN UNION,Coffee equivalents,58831.3,19.67
2015,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,JAPAN,JAPAN,Coffee equivalents,55440,18.975
2016,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,JAPAN,JAPAN,Coffee equivalents,52036.88,18.975
2017,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,JAPAN,JAPAN,Coffee equivalents,51913.13,18.975
2018,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,JAPAN,JAPAN,Coffee equivalents,84067.6,37.95
2017,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,53031.38,19.665
2018,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,45630,20.7
2013,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,SPAIN,EUROPEAN UNION,Coffee equivalents,59998.12,18.95
2015,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,SPAIN,EUROPEAN UNION,Coffee equivalents,60101.25,18.975
2016,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,SPAIN,EUROPEAN UNION,Coffee equivalents,51211.87,18.975
2017,PERU,PUERTO DEL CALLAO,NEGRISA S.A.C.,NEGRISA S.A.C.,SPAIN,EUROPEAN UNION,Coffee equivalents,61050,18.975
