YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES
2017,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,CANADA,CANADA,Coffee equivalents,36630.24,9.66
2018,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,CANADA,CANADA,Coffee equivalents,115610.4,33.12
2013,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,FRANCE,EUROPEAN UNION,Coffee equivalents,357034.2,76.245
2014,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,FRANCE,EUROPEAN UNION,Coffee equivalents,303916.17,57.615
2015,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,FRANCE,EUROPEAN UNION,Coffee equivalents,462058.52,99.61875
2016,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,FRANCE,EUROPEAN UNION,Coffee equivalents,184062.04,37.95
2017,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,FRANCE,EUROPEAN UNION,Coffee equivalents,663841.17,152.49
2018,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,FRANCE,EUROPEAN UNION,Coffee equivalents,418322.6,94.875
2013,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,219546.34,79.07
2014,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,120980.21,22.77
2015,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,1063044.67,293.595
2016,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,315068.81,82.78
2017,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,164319.35,41.2
2018,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,90130.6,32.43
2015,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,GREECE,EUROPEAN UNION,Coffee equivalents,110385,41.4
2013,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,ITALY,EUROPEAN UNION,Coffee equivalents,10981.9,3.036
2014,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,MEXICO,MEXICO,Coffee equivalents,95378.59,19.665
2015,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,MEXICO,MEXICO,Coffee equivalents,95378.59,19.65
2016,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,MEXICO,MEXICO,Coffee equivalents,176304.9,38.985
2017,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,NORWAY,NORWAY,Coffee equivalents,1751.67,0.6933
2013,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,SWEDEN,EUROPEAN UNION,Coffee equivalents,173445.3,41.25
2015,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,SWEDEN,EUROPEAN UNION,Coffee equivalents,86707.81,20.68
2013,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,242629.74,56.925
2014,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,585906.34,117.99
2015,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,229994.84,58.995
2016,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,524373.07,151.8
2017,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,597713.45,145.59
2018,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,60695.5,19.665
2013,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,571674.66,132.825
2014,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,310788.52,58.305
2015,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,177661.65,39.215
2016,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,321732.12,75.9
2017,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,159115.54,38.985
2018,PERU,PUERTO DEL CALLAO,COOP AGRAR CAFETALERA ORO VERDE LTDA,COOP AGRAR CAFETALERA ORO VERDE LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,86706.9,19.665
2013,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA BAGUA GRANDE LTD,COOP AGRARIA CAFETALERA BAGUA GRANDE LTD,ARGENTINA,ARGENTINA,Coffee equivalents,75808.51,19.32
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,BELGIUM,EUROPEAN UNION,Coffee equivalents,329486.28,78.66
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,BELGIUM,EUROPEAN UNION,Coffee equivalents,448708.29,117.99
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,BELGIUM,EUROPEAN UNION,Coffee equivalents,444411.51,136.965
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,CANADA,CANADA,Coffee equivalents,79481.35,18.975
2014,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,FRANCE,EUROPEAN UNION,Coffee equivalents,316480.24,78.66
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,351392.25,78.22
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,207304.02,56.5796
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,314204.87,100.395
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,131762.4,42.78
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,IRELAND,EUROPEAN UNION,Coffee equivalents,79482.49,18.975
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,IRELAND,EUROPEAN UNION,Coffee equivalents,81572.97,18.975
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,ITALY,EUROPEAN UNION,Coffee equivalents,58565.2,18.9748
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,JAPAN,JAPAN,Coffee equivalents,112612.28,18.975
2013,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,84425.15,20.62
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,82371.57,19.6648
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,POLAND,EUROPEAN UNION,Coffee equivalents,42197.37,5.03695
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,POLAND,EUROPEAN UNION,Coffee equivalents,33037.5,9.384
2013,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,SWEDEN,EUROPEAN UNION,Coffee equivalents,737008.77,175.22
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,SWEDEN,EUROPEAN UNION,Coffee equivalents,173147.86,41.33608
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,117130.4,37.94961
2013,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,119640.33,37.95
2014,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,841778.28,168.685
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,715332.15,170.77462
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,156682.45,36.22482
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,660592.44,208.725
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,UNITED STATES,UNITED STATES,Coffee equivalents,241881.9,91.4242
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MARANURA LTDA129,COOP AGRARIA CAFETALERA MARANURA LTDA129,GERMANY,EUROPEAN UNION,Coffee equivalents,722530.95,190.16443
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MARANURA LTDA129,COOP AGRARIA CAFETALERA MARANURA LTDA129,GERMANY,EUROPEAN UNION,Coffee equivalents,52200,20.4117
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MARANURA LTDA129,COOP AGRARIA CAFETALERA MARANURA LTDA129,IRELAND,EUROPEAN UNION,Coffee equivalents,79482.7,18.97513
2014,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MARANURA LTDA129,COOP AGRARIA CAFETALERA MARANURA LTDA129,JAPAN,JAPAN,Coffee equivalents,586327.5,94.875
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MARANURA LTDA129,COOP AGRARIA CAFETALERA MARANURA LTDA129,JAPAN,JAPAN,Coffee equivalents,92028.75,18.975
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MARANURA LTDA129,COOP AGRARIA CAFETALERA MARANURA LTDA129,JAPAN,JAPAN,Coffee equivalents,196614.8,37.95
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MARANURA LTDA129,COOP AGRARIA CAFETALERA MARANURA LTDA129,JAPAN,JAPAN,Coffee equivalents,69023.28,18.975
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MARANURA LTDA129,COOP AGRARIA CAFETALERA MARANURA LTDA129,JAPAN,JAPAN,Coffee equivalents,73206.5,18.975
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MARANURA LTDA129,COOP AGRARIA CAFETALERA MARANURA LTDA129,UNITED STATES,UNITED STATES,Coffee equivalents,79482.7,18.975
2014,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MATEO PUMACAHUA,COOP AGRARIA CAFETALERA MATEO PUMACAHUA,GERMANY,EUROPEAN UNION,Coffee equivalents,86662.62,25.047
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA MATEO PUMACAHUA,COOP AGRARIA CAFETALERA MATEO PUMACAHUA,UNITED STATES,UNITED STATES,Coffee equivalents,79481.35,18.97481
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,BELGIUM,EUROPEAN UNION,Coffee equivalents,119263.2,38.64
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,BELGIUM,EUROPEAN UNION,Coffee equivalents,223189,72.312
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,FINLAND,EUROPEAN UNION,Coffee equivalents,50973.51,18.975
2013,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,FRANCE,EUROPEAN UNION,Coffee equivalents,307527.2,77.28
2014,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,FRANCE,EUROPEAN UNION,Coffee equivalents,735875.25,154.56
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,FRANCE,EUROPEAN UNION,Coffee equivalents,391864.8,96.6
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,FRANCE,EUROPEAN UNION,Coffee equivalents,621872.4,173.88
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,FRANCE,EUROPEAN UNION,Coffee equivalents,812138.8,269.79
2013,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,GERMANY,EUROPEAN UNION,Coffee equivalents,1349694.48,392.255
2014,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,GERMANY,EUROPEAN UNION,Coffee equivalents,779252.09,186.03
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,GERMANY,EUROPEAN UNION,Coffee equivalents,519136.14,134.55
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,GERMANY,EUROPEAN UNION,Coffee equivalents,1039246.73,286.29
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,GERMANY,EUROPEAN UNION,Coffee equivalents,1256420.51,388.55
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,GERMANY,EUROPEAN UNION,Coffee equivalents,303479.6,98.325
2014,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,JAPAN,JAPAN,Coffee equivalents,91740,18.975
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,JAPAN,JAPAN,Coffee equivalents,239064.38,75.9
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,58566.2,18.975
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,217505.9,75.9
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,SWEDEN,EUROPEAN UNION,Coffee equivalents,133937.59,41.35
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,SWEDEN,EUROPEAN UNION,Coffee equivalents,127204.75,41.39
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,SWEDEN,EUROPEAN UNION,Coffee equivalents,131288,61.9
2013,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,UNITED STATES,UNITED STATES,Coffee equivalents,418330,94.875
2014,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,UNITED STATES,UNITED STATES,Coffee equivalents,540398.7,113.85
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,UNITED STATES,UNITED STATES,Coffee equivalents,564682.73,151.8
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,UNITED STATES,UNITED STATES,Coffee equivalents,501933.23,132.825
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,UNITED STATES,UNITED STATES,Coffee equivalents,138048.9,37.95
2018,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA PERENE,COOP AGRARIA CAFETALERA PERENE,UNITED STATES,UNITED STATES,Coffee equivalents,571456.8,208.725
2014,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,CANADA,CANADA,Coffee equivalents,207380.88,38.64
2016,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,CANADA,CANADA,Coffee equivalents,175692.84,37.95
2017,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,CANADA,CANADA,Coffee equivalents,386945.61,94.875
2013,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,GERMANY,EUROPEAN UNION,Coffee equivalents,173411.09,40.82334
2014,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,GERMANY,EUROPEAN UNION,Coffee equivalents,207719.5,44.505
2015,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,GERMANY,EUROPEAN UNION,Coffee equivalents,106936.85,25.53
2016,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,GERMANY,EUROPEAN UNION,Coffee equivalents,109694.69,25.53
2017,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,GERMANY,EUROPEAN UNION,Coffee equivalents,191360.48,51.06
2018,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,GERMANY,EUROPEAN UNION,Coffee equivalents,191372.8,51.06
2017,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,IRELAND,EUROPEAN UNION,Coffee equivalents,77389.13,18.975
2018,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,IRELAND,EUROPEAN UNION,Coffee equivalents,72180.9,18.975
2014,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,JAPAN,JAPAN,Coffee equivalents,42135.86,13.8
2013,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,376484.64,94.875
2014,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,206773.47,37.95
2015,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,400229.88,95.289
2016,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,590160.62,132.825
2017,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,500933.69,132.825
2018,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,491924.7,132.825
2013,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,UNITED STATES,UNITED STATES,Coffee equivalents,404625.9,96.6
2014,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,UNITED STATES,UNITED STATES,Coffee equivalents,80925.18,19.32
2018,PERU,PUERTO DEL CALLAO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,COOP.AGRARIA CAFETALERA SAN JUAN DEL ORO,UNITED STATES,UNITED STATES,Coffee equivalents,11895.32,2.346
2013,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA SATIPO LTDA,COOP AGRARIA CAFETALERA SATIPO LTDA,BELGIUM,EUROPEAN UNION,Coffee equivalents,158962.27,37.95
2015,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA SATIPO LTDA,COOP AGRARIA CAFETALERA SATIPO LTDA,CANADA,CANADA,Coffee equivalents,144511.54,34.49982
2016,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA SATIPO LTDA,COOP AGRARIA CAFETALERA SATIPO LTDA,CHILE,CHILE,Coffee equivalents,3600,1.173
2017,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA SATIPO LTDA,COOP AGRARIA CAFETALERA SATIPO LTDA,CHILE,CHILE,Coffee equivalents,11140,3.776
2013,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA SATIPO LTDA,COOP AGRARIA CAFETALERA SATIPO LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,1773038.73,466.775
2014,PERU,PUERTO DEL CALLAO,COOP AGRARIA CAFETALERA SATIPO LTDA,COOP AGRARIA CAFETALERA SATIPO LTDA,GERMANY,EUROPEAN UNION,Coffee equivalents,756911.4,165.39
