YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,BEEF_EQUIVALENT_TONNES
2018,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,MAHMOUD ALAYYAT AND SONS,MAHMOUD ALAYYAT AND SONS,JORDAN,JORDAN,Beef equivalents,97278.7,30.3469310309097
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,MEAT CANNING PRESERVING PLANT ARGO,MEAT CANNING PRESERVING PLANT ARGO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,121998.74,69.8038996540567
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,MERKURY,MERKURY,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,90957.48,36.7730785227916
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,OAO KMPZ DEYMA,OAO KMPZ DEYMA,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,81967.32,36.9378818021117
2014,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,OOO MEAT FABRIQUE,OOO MEAT FABRIQUE,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,912679.52,308.032454660422
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,OOO MEAT FABRIQUE,OOO MEAT FABRIQUE,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,381149.88,172.371328104784
2014,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,OOO PRODSERVIS,OOO PRODSERVIS,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,196386.31,69.0280189366914
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,OOO SOVEREN,OOO SOVEREN,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,73326.83,33.2317913666115
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,OOO VEXIKA INN,OOO VEXIKA INN,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,155665.48,69.6461650587418
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,RESERVE FOOD CO JSC,RESERVE FOOD CO JSC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,158435.78,70.0413250830297
2018,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,SLEIMAN CO FOR LIVESTOCK S A L,SLEIMAN CO FOR LIVESTOCK S A L,LEBANON,LEBANON,Beef equivalents,8790373.88,3007.873109
2014,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,SMP DV CO LTD,SMP DV CO LTD,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,92679,33.9219968887144
2018,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,STRONG,STRONG,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,360177.43,141.152011662839
2017,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,THE INTL CO FOR MEAT AND FOOD TRADE S A R L,THE INTL CO FOR MEAT AND FOOD TRADE S A R L,LEBANON,LEBANON,Beef equivalents,176154.04,48.6718011714606
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,TOO CO ROKOS LTD,TOO CO ROKOS LTD,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,671651.14,248.073063180738
2017,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,VIKING,VIKING,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,227038.87,107.369329614226
2014,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,WES TIMPEX LLC,WES TIMPEX LLC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,374094.33,135.127296794449
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,ZAFMAN LLP INN,ZAFMAN LLP INN,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,80105.07,32.3379528427603
2015,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP EL BUFALO S A,AGROP EL BUFALO S A,ZAO JUKRYS,ZAO JUKRYS,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,94351.88,34.2278032569372
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,HIJAZI AND GHOSHEH CO,HIJAZI AND GHOSHEH CO,JORDAN,JORDAN,Beef equivalents,568201.93,187.611520624687
2017,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,HIJAZI AND GHOSHEH CO,HIJAZI AND GHOSHEH CO,JORDAN,JORDAN,Beef equivalents,3135662.42,1062.99620859766
2018,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,HIJAZI AND GHOSHEH CO,HIJAZI AND GHOSHEH CO,JORDAN,JORDAN,Beef equivalents,3684773.01,1207.72965479671
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,JORDANIAN INVESTMENT Y SUPPLY CO W L L SAFEWAY SHMAISANI,JORDANIAN INVESTMENT Y SUPPLY CO W L L SAFEWAY SHMAISANI,JORDAN,JORDAN,Beef equivalents,97653.95,27.7796536282393
2018,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,KROMEKSPO,KROMEKSPO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,684287.99,259.74339184524
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,MABSOUT. IDRISS SAL,MABSOUT. IDRISS SAL,LEBANON,LEBANON,Beef equivalents,654474.04,182.314207654428
2017,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,MABSOUT. IDRISS SAL,MABSOUT. IDRISS SAL,LEBANON,LEBANON,Beef equivalents,8551625.23,2490.18409763746
2018,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,MABSOUT. IDRISS SAL,MABSOUT. IDRISS SAL,LEBANON,LEBANON,Beef equivalents,8031650.17,2287.46188552897
2018,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,MAHMOUD ALAYYAT AND SONS,MAHMOUD ALAYYAT AND SONS,JORDAN,JORDAN,Beef equivalents,399645.57,128.963582774758
2018,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,MEATHOUSE IMPEX,MEATHOUSE IMPEX,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Beef equivalents,1726732.51,469.590631546928
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,OREGON FOODS SAC,OREGON FOODS SAC,PERU,PERU,Beef equivalents,564966.47,156.984669707174
2017,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,OREGON FOODS SAC,OREGON FOODS SAC,PERU,PERU,Beef equivalents,1375613.15,364.8260364978
2017,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,QUANG NINH SHIPCHANDLER JOINT STOCK CORP,QUANG NINH SHIPCHANDLER JOINT STOCK CORP,VIETNAM,VIETNAM,Beef equivalents,592893.54,235.102645683288
2018,COLOMBIA,ESPECIAL DE CARTAGENA,ALIMS CARNICOS S A S,ALIMS CARNICOS S A S,QUANG NINH SHIPCHANDLER JOINT STOCK CORP,QUANG NINH SHIPCHANDLER JOINT STOCK CORP,VIETNAM,VIETNAM,Beef equivalents,1832458.93,754.09809407021
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ALMS EXITO S A,ALMS EXITO S A,MARCUS FOOD CO,MARCUS FOOD CO,UNITED STATES,UNITED STATES,Beef equivalents,19883.21,25.24267
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AMERICAN TRADE S A S,AMERICAN TRADE S A S,MAHMOUD ALAYYAT AND SONS,MAHMOUD ALAYYAT AND SONS,JORDAN,JORDAN,Beef equivalents,3095062.25,1152.94921
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AMERICAN TRADE S A S,AMERICAN TRADE S A S,SLEIMAN CO FOR LIVESTOCK S A L,SLEIMAN CO FOR LIVESTOCK S A L,LEBANON,LEBANON,Beef equivalents,3446277,1475.5167
2015,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,AGROALLIANCE,AGROALLIANCE,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,69133.92,34.3065195729946
2015,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,AGROKOMMERC,AGROKOMMERC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,86704.7,37.0854731790192
2015,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,ARAGUAIA CO LTD,ARAGUAIA CO LTD,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,159085.67,69.2258871864356
2015,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,BARS LLC,BARS LLC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,153331.26,70.9745698045096
2017,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,BARS LLC,BARS LLC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,72535.36,35.8987578021546
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,MABSOUT. IDRISS SAL,MABSOUT. IDRISS SAL,LEBANON,LEBANON,Beef equivalents,54490.08,14.5484497305995
2015,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,MOKBEL INTL TRADING LTD,MOKBEL INTL TRADING LTD,ANGOLA,ANGOLA,Beef equivalents,128278,37.0530807629956
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,MOKBEL INTL TRADING LTD,MOKBEL INTL TRADING LTD,ANGOLA,ANGOLA,Beef equivalents,123591.16,35.040910482038
2015,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,OX FOODS CORP,OX FOODS CORP,PERU,PERU,Beef equivalents,94790.64,21.8665278879312
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,ROGERIO PETRONILHO DE ARAUJO Y FILHOS LTD,ROGERIO PETRONILHO DE ARAUJO Y FILHOS LTD,ANGOLA,ANGOLA,Beef equivalents,146321.73,35.4495021006534
2015,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,STE SUNDEEP,STE SUNDEEP,CONGO,CONGO,Beef equivalents,55904,26.2
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,STE SUNDEEP,STE SUNDEEP,CONGO,CONGO,Beef equivalents,58244.8,25.48248
2016,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,WING WO TRANSPORTATION CO LTD,WING WO TRANSPORTATION CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,36696.39,15.8233520875284
2017,COLOMBIA,ESPECIAL DE CARTAGENA,ANGLETON GROUP S A S,ANGLETON GROUP S A S,WIN LEGEND INTL LTD,WIN LEGEND INTL LTD,CHINA (HONG KONG),CHINA (HONG KONG),Beef equivalents,40333,16.522877292038
2015,COLOMBIA,ESPECIAL DE CARTAGENA,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,AGROIMP FE LLC,AGROIMP FE LLC,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,60112,34.314000025
2017,COLOMBIA,ESPECIAL DE CARTAGENA,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CB CO,CB CO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,154662.95,74.0898966899794
2015,COLOMBIA,ESPECIAL DE CARTAGENA,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,FAIRIS C A,FAIRIS C A,PERU,PERU,Beef equivalents,78490,32.2551600235
2016,COLOMBIA,ESPECIAL DE CARTAGENA,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,GLOBAL FOODS TRADING GMBH,GLOBAL FOODS TRADING GMBH,CURACAO,CURACAO,Beef equivalents,95700.2,33.4725351002659
2018,COLOMBIA,ESPECIAL DE CARTAGENA,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,LLC PIT,LLC PIT,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,83532.88,37.0603553310009
2018,COLOMBIA,ESPECIAL DE CARTAGENA,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,SATURNK,SATURNK,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,75442.91,37.0652279190045
2017,COLOMBIA,ESPECIAL DE CARTAGENA,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,STEP,STEP,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,208891.24,102.963480639016
2017,COLOMBIA,ESPECIAL DE CARTAGENA,CIALZDORA DERIVADOS CARNICOS S A S,CIALZDORA DERIVADOS CARNICOS S A S,AB PLUS LOGISTICS JOINT STOCK CO,AB PLUS LOGISTICS JOINT STOCK CO,VIETNAM,VIETNAM,Beef equivalents,115350,28.71
2015,COLOMBIA,ESPECIAL DE CARTAGENA,CIALZDORA MUNDIORIENTE S A S,CIALZDORA MUNDIORIENTE S A S,CB CO,CB CO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,54200,34.314000025
2015,COLOMBIA,ESPECIAL DE CARTAGENA,CIALZDORA MUNDIORIENTE S A S,CIALZDORA MUNDIORIENTE S A S,MEATPOINT,MEATPOINT,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,301647.8,137.2560001
2015,COLOMBIA,ESPECIAL DE CARTAGENA,CIALZDORA MUNDIORIENTE S A S,CIALZDORA MUNDIORIENTE S A S,VIKING,VIKING,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,232600,102.942000075
2018,COLOMBIA,ESPECIAL DE CARTAGENA,C I CG EXPORT E U,C I CG EXPORT E U,TRANZIT SERV OU,TRANZIT SERV OU,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,160334.38,68.5461954739404
2015,COLOMBIA,ESPECIAL DE CARTAGENA,C I COLANDINA CIAL S A S,C I COLANDINA CIAL S A S,CEDARS TRADING CO S A R L,CEDARS TRADING CO S A R L,LEBANON,LEBANON,Beef equivalents,1276114,545.99449
2015,COLOMBIA,ESPECIAL DE CARTAGENA,C I COLANDINA CIAL S A S,C I COLANDINA CIAL S A S,HUNLAND TRADE KFT,HUNLAND TRADE KFT,LEBANON,LEBANON,Beef equivalents,10166490,4410.35913
2015,COLOMBIA,ESPECIAL DE CARTAGENA,C I COLANDINA CIAL S A S,C I COLANDINA CIAL S A S,KHALIFEH LIVESTOCK TRADING CO S A R L,KHALIFEH LIVESTOCK TRADING CO S A R L,LEBANON,LEBANON,Beef equivalents,3105721.5,1096.34371
2014,COLOMBIA,ESPECIAL DE CARTAGENA,C I COLANDINA CIAL S A S,C I COLANDINA CIAL S A S,MASRI LIVE STOCK CO,MASRI LIVE STOCK CO,LEBANON,LEBANON,Beef equivalents,7756936.25,2657.86483
2014,COLOMBIA,ESPECIAL DE CARTAGENA,C I COLANDINA CIAL S A S,C I COLANDINA CIAL S A S,SLEIMAN CO FOR LIVESTOCK S A L,SLEIMAN CO FOR LIVESTOCK S A L,LEBANON,LEBANON,Beef equivalents,3740124.75,1307.43131
2013,COLOMBIA,ESPECIAL DE CARTAGENA,C I COLANDINA CIAL S A S,C I COLANDINA CIAL S A S,VENEOCEAN S A,VENEOCEAN S A,LEBANON,LEBANON,Beef equivalents,4924032,1843.43448
2015,COLOMBIA,ESPECIAL DE CARTAGENA,C I FORTALEZA ASOCIADOS S A S,C I FORTALEZA ASOCIADOS S A S,BAWABET MEDELLIN FOR MEAT AND LIVESTOCK TRADING CO,BAWABET MEDELLIN FOR MEAT AND LIVESTOCK TRADING CO,LEBANON,LEBANON,Beef equivalents,6305792,2855.71453
2013,COLOMBIA,ESPECIAL DE CARTAGENA,C I FORTALEZA ASOCIADOS S A S,C I FORTALEZA ASOCIADOS S A S,HIJAZI AND GHOSHEH CO,HIJAZI AND GHOSHEH CO,LEBANON,LEBANON,Beef equivalents,5634727,1629.09431
2014,COLOMBIA,ESPECIAL DE CARTAGENA,C I FORTALEZA ASOCIADOS S A S,C I FORTALEZA ASOCIADOS S A S,HIJAZI AND GHOSHEH CO,HIJAZI AND GHOSHEH CO,LEBANON,LEBANON,Beef equivalents,8242877.25,2559.94031
2013,COLOMBIA,ESPECIAL DE CARTAGENA,C I FORTALEZA ASOCIADOS S A S,C I FORTALEZA ASOCIADOS S A S,MASRI LIVE STOCK CO,MASRI LIVE STOCK CO,LEBANON,LEBANON,Beef equivalents,1134999,377.76534
2015,COLOMBIA,ESPECIAL DE CARTAGENA,C I SOC AGROP EL RANCHO LTDA,C I SOC AGROP EL RANCHO LTDA,VIKING,VIKING,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,305980,134.956962098325
2013,COLOMBIA,ESPECIAL DE CARTAGENA,C I WEST POINT CO S A,C I WEST POINT CO S A,GAPELMAR IMP AND EXP N A,GAPELMAR IMP AND EXP N A,NETHERLANDS ANTILLES,NETHERLANDS ANTILLES,Beef equivalents,65628.29,15.831065874734
2014,COLOMBIA,ESPECIAL DE CARTAGENA,C I WEST POINT CO S A,C I WEST POINT CO S A,GAPELMAR IMP AND EXP N A,GAPELMAR IMP AND EXP N A,NETHERLANDS ANTILLES,NETHERLANDS ANTILLES,Beef equivalents,73160,15.7844400115
2013,COLOMBIA,ESPECIAL DE CARTAGENA,C I WEST POINT CO S A,C I WEST POINT CO S A,HECTOR HENRIQUEZ 8 INC,HECTOR HENRIQUEZ 8 INC,NETHERLANDS ANTILLES,NETHERLANDS ANTILLES,Beef equivalents,61789.2,15.4198880752344
2017,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,ACHI LIVESTOCK TRADING CO SAL,ACHI LIVESTOCK TRADING CO S A L,LEBANON,LEBANON,Beef equivalents,2516747.25,932.30157
2017,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,AGROPECUARIA AL LTDA,AGROPECUARIA AL LTDA,EGYPT,EGYPT,Beef equivalents,4388784,1511.72026
2018,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,ALDELTA FOR TRADING MEAT AND CATTLE LTD,ALDELTA FOR TRADING MEAT AND CATTLE LTD,EGYPT,EGYPT,Beef equivalents,4924686,1552.57206
2018,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,ALDELTA FOR TRADING MEAT AND CATTLE LTD,ALDELTA FOR TRADING MEAT AND CATTLE LTD,JORDAN,JORDAN,Beef equivalents,6934873,2245.39942
2018,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,AL HAMEEDEYAH TOWER FOR GRAL TRADE AND CONTRACTING CO,AL HAMEEDEYAH TOWER FOR GRAL TRADE AND CONTRACTING CO,IRAQ,IRAQ,Beef equivalents,5771421.75,1517.42873
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,ALI MAJEED HAMEED,ALI MAJEED HAMEED,IRAQ,IRAQ,Beef equivalents,4816235,1620.74425
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,BAYADER AL NOUR FOR GRAL TRADING CO LTD,BAYADER AL NOUR FOR GRAL TRADING CO LTD,IRAQ,IRAQ,Beef equivalents,2308745.5,1064.66859
2015,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,CB CO,CB CO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Beef equivalents,227662.74,97.5105056390428
2018,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,HIJAZI AND GHOSHEH CO,HIJAZI AND GHOSHEH CO,JORDAN,JORDAN,Beef equivalents,1778029.5,747.39626
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,HUNLAND TRADE KFT,HUNLAND TRADE KFT,IRAQ,IRAQ,Beef equivalents,2770320,1016.8025
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,IHSAN JAWAD KADHIM NAYEF,IHSAN JAWAD KADHIM NAYEF,IRAQ,IRAQ,Beef equivalents,2681860.5,973.59663
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,ISLAMIC INTL ARAB BANK,ISLAMIC INTL ARAB BANK,JORDAN,JORDAN,Beef equivalents,1884317.88,882.47076
2017,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,KHAIRAT AL,KHAIRAT AL,IRAQ,IRAQ,Beef equivalents,7144148.5,2472.18082
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,KHALIDA JAMAL SAEED,KHALIDA JAMAL SAEED,IRAQ,IRAQ,Beef equivalents,3782116.75,1276.33123
2017,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,KHALIFEH LIVESTOCK TRADING CO S A R L,KHALIFEH LIVESTOCK TRADING CO S A R L,LEBANON,LEBANON,Beef equivalents,2582199.5,934.41604
2015,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,MAHMOUD ALAYYAT AND SONS,MAHMOUD ALAYYAT AND SONS,JORDAN,JORDAN,Beef equivalents,100002.03,31.244887234764
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,MAHMOUD ALAYYAT AND SONS,MAHMOUD ALAYYAT AND SONS,JORDAN,JORDAN,Beef equivalents,8550656.75,3565.99076
2014,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,MASRI LIVE STOCK CO,MASRI LIVE STOCK CO,LEBANON,LEBANON,Beef equivalents,2501977.07,957.51348
2015,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,MASRI LIVE STOCK CO,MASRI LIVE STOCK CO,LEBANON,LEBANON,Beef equivalents,17428822.12,7528.070869
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,MASRI LIVE STOCK CO,MASRI LIVE STOCK CO,LEBANON,LEBANON,Beef equivalents,1905449.38,852.36502
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,MR SALEH BADR AOWEEZ,MR SALEH BADR AOWEEZ,IRAQ,IRAQ,Beef equivalents,2855907.25,1007.11667
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,RASHID HAMEED HUSSEIN,RASHID HAMEED HUSSEIN,IRAQ,IRAQ,Beef equivalents,2385032,934.48792
2015,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,RASSEM TRADING CO S A R L,RASSEM TRADING CO S A R L,LEBANON,LEBANON,Beef equivalents,2708314.5,1330.797701
2018,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,SAFWAT AL JAUDA FOR GRAL TRADE CO,SAFWAT AL JAUDA FOR GRAL TRADE CO,IRAQ,IRAQ,Beef equivalents,2326800,838.6
2018,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,SAHAB AL KHALEEJ GRAL TRADING CO,SAHAB AL KHALEEJ GRAL TRADING CO,IRAQ,IRAQ,Beef equivalents,3910883,1338.63921
2017,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,SAWFAT AL JAUDA FOR GRAL TRADE CO,SAWFAT AL JAUDA FOR GRAL TRADE CO,IRAQ,IRAQ,Beef equivalents,4413982,1555.27954
2016,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,SLEIMAN CO FOR LIVESTOCK S A L,SLEIMAN CO FOR LIVESTOCK S A L,LEBANON,LEBANON,Beef equivalents,1940255.12,760.11303
2017,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,SLEIMAN CO FOR LIVESTOCK S A L,SLEIMAN CO FOR LIVESTOCK S A L,LEBANON,LEBANON,Beef equivalents,14421086.25,5338.520412
2018,COLOMBIA,ESPECIAL DE CARTAGENA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,SLEIMAN CO FOR LIVESTOCK S A L,SLEIMAN CO FOR LIVESTOCK S A L,LEBANON,LEBANON,Beef equivalents,1960712.62,733.58332
