YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,SHRIMP_EQUIVALENT_TONNES
2017,ARGENTINA,PUERTO MADRYN,IBERCONSA DE ARGENTINA SA.,IBERCONSA DE ARGENTINA SA.,UNITED STATES,UNITED STATES,Shrimp equivalents,1254343.63,315.06874
2013,ARGENTINA,PUERTO MADRYN,IBERCONSA DE ARGENTINA SA.,IBERCONSA DE ARGENTINA SA.,VIETNAM,VIETNAM,Shrimp equivalents,355200,44.4
2014,ARGENTINA,PUERTO MADRYN,IBERCONSA DE ARGENTINA SA.,IBERCONSA DE ARGENTINA SA.,VIETNAM,VIETNAM,Shrimp equivalents,762003,96
2015,ARGENTINA,PUERTO MADRYN,IBERCONSA DE ARGENTINA SA.,IBERCONSA DE ARGENTINA SA.,VIETNAM,VIETNAM,Shrimp equivalents,312738,46.2
2017,ARGENTINA,PUERTO MADRYN,IBERCONSA DE ARGENTINA SA.,IBERCONSA DE ARGENTINA SA.,VIETNAM,VIETNAM,Shrimp equivalents,7293688.12,1123.296
2013,ARGENTINA,PUERTO MADRYN,IBERPESCA S A,IBERPESCA S A,GREECE,EUROPEAN UNION,Shrimp equivalents,391975.2,84.036
2013,ARGENTINA,PUERTO MADRYN,IBERPESCA S A,IBERPESCA S A,ITALY,EUROPEAN UNION,Shrimp equivalents,154381.6,28.996
2013,ARGENTINA,PUERTO MADRYN,IBERPESCA S A,IBERPESCA S A,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,185184,65.88
2013,ARGENTINA,PUERTO MADRYN,IBERPESCA S A,IBERPESCA S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,1663036.79,320.124
2013,ARGENTINA,PUERTO MADRYN,IBERPESCA S A,IBERPESCA S A,UKRAINE,UKRAINE,Shrimp equivalents,293020.8,65.004
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,BELGIUM,EUROPEAN UNION,Shrimp equivalents,224508,42.36
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,358470,80.1
2014,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,518804.99,195.93
2014,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,COSTA RICA,COSTA RICA,Shrimp equivalents,213303.6,47.988
2015,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,COSTA RICA,COSTA RICA,Shrimp equivalents,131934,23.988
2015,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,CROATIA,EUROPEAN UNION,Shrimp equivalents,127168.8,16.08
2014,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Shrimp equivalents,327330.24,46.728
2015,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Shrimp equivalents,356015.04,47.964
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,EGYPT,EGYPT,Shrimp equivalents,278882.16,69.492
2014,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,EGYPT,EGYPT,Shrimp equivalents,228900,120
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,FRANCE,EUROPEAN UNION,Shrimp equivalents,370491.6,67.824
2015,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,FRANCE,EUROPEAN UNION,Shrimp equivalents,104750.56,15.4192
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,GERMANY,EUROPEAN UNION,Shrimp equivalents,303438.38,43.34834
2015,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,GERMANY,EUROPEAN UNION,Shrimp equivalents,130842,24
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,ITALY,EUROPEAN UNION,Shrimp equivalents,782783.04,164.976
2014,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,ITALY,EUROPEAN UNION,Shrimp equivalents,239600.4,40.212
2015,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,ITALY,EUROPEAN UNION,Shrimp equivalents,384726.89,66.822
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,JAPAN,JAPAN,Shrimp equivalents,233829,43.176
2014,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,LIBYA,LIBYA,Shrimp equivalents,131400,48
2014,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,116100,72
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,811622.8,148.683423423423
2014,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,558511.2,167.052
2015,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,121267.2,24
2014,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,THAILAND,THAILAND,Shrimp equivalents,290844,61.92
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,UNITED STATES,UNITED STATES,Shrimp equivalents,932633.8,135.12744
2013,ARGENTINA,PUERTO MADRYN,INSER S A,INSER S A,VIETNAM,VIETNAM,Shrimp equivalents,99919.8,23.628
2013,ARGENTINA,PUERTO MADRYN,KALEU - KALEU SA,KALEU - KALEU SA,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,379620,44.4
2013,ARGENTINA,PUERTO MADRYN,KALEU - KALEU SA,KALEU - KALEU SA,ITALY,EUROPEAN UNION,Shrimp equivalents,862181.5,138.479
2013,ARGENTINA,PUERTO MADRYN,KALEU - KALEU SA,KALEU - KALEU SA,JAPAN,JAPAN,Shrimp equivalents,160658.41,22.008
2013,ARGENTINA,PUERTO MADRYN,KALEU - KALEU SA,KALEU - KALEU SA,SPAIN,EUROPEAN UNION,Shrimp equivalents,621492.15,141.543
2013,ARGENTINA,PUERTO MADRYN,KALEU - KALEU SA,KALEU - KALEU SA,TAIWAN,TAIWAN,Shrimp equivalents,185853.6,22.392
2013,ARGENTINA,PUERTO MADRYN,KALEU - KALEU SA,KALEU - KALEU SA,THAILAND,THAILAND,Shrimp equivalents,555594,157.332
2013,ARGENTINA,PUERTO MADRYN,LA EMILIA S.A.,LA EMILIA S.A.,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,197466.06,39.6
2013,ARGENTINA,PUERTO MADRYN,LA EMILIA S.A.,LA EMILIA S.A.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,355923.07,70.236
2015,ARGENTINA,PUERTO MADRYN,LA EMILIA S.A.,LA EMILIA S.A.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,750804,120.84
2013,ARGENTINA,PUERTO MADRYN,LA EMILIA S.A.,LA EMILIA S.A.,ITALY,EUROPEAN UNION,Shrimp equivalents,9234086.19,1669.086
2015,ARGENTINA,PUERTO MADRYN,LA EMILIA S.A.,LA EMILIA S.A.,ITALY,EUROPEAN UNION,Shrimp equivalents,568134.6,93.348
2013,ARGENTINA,PUERTO MADRYN,LA EMILIA S.A.,LA EMILIA S.A.,JAPAN,JAPAN,Shrimp equivalents,2526111.1,465.816
2013,ARGENTINA,PUERTO MADRYN,LA EMILIA S.A.,LA EMILIA S.A.,SPAIN,EUROPEAN UNION,Shrimp equivalents,1865221.4,355.714
2015,ARGENTINA,PUERTO MADRYN,LA EMILIA S.A.,LA EMILIA S.A.,SPAIN,EUROPEAN UNION,Shrimp equivalents,686730,218.172
2013,ARGENTINA,PUERTO MADRYN,LA EMILIA S.A.,LA EMILIA S.A.,THAILAND,THAILAND,Shrimp equivalents,624132.04,154.512
2013,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,706539.79,96
2014,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,1681500,243.497142857143
2015,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,944332.8,144
2015,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,GUATEMALA,GUATEMALA,Shrimp equivalents,464358.6,109.566
2013,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,ITALY,EUROPEAN UNION,Shrimp equivalents,305083.81,44.868
2014,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,ITALY,EUROPEAN UNION,Shrimp equivalents,1886699.88,480.012
2015,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,ITALY,EUROPEAN UNION,Shrimp equivalents,2923957.22,480.9
2017,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,ITALY,EUROPEAN UNION,Shrimp equivalents,593318.2,96
2013,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,JAPAN,JAPAN,Shrimp equivalents,3507618.57,569.99163963964
2014,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,JAPAN,JAPAN,Shrimp equivalents,2010518.28,309.6
2015,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,JAPAN,JAPAN,Shrimp equivalents,2207664,414.108
2017,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,JAPAN,JAPAN,Shrimp equivalents,2659585.79,503.4
2017,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,KENYA,KENYA,Shrimp equivalents,78888,12
2014,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,SAUDI ARABIA,SAUDI ARABIA,Shrimp equivalents,706405.73,108
2013,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,269408.7,49.986
2013,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,3572992.37,598.56436036036
2014,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,7943255.4,1420.99885714286
2015,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,2854203.75,530.2284
2017,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,2158644.8,501.804
2014,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,TAIWAN,TAIWAN,Shrimp equivalents,142578.91,21.6
2013,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,THAILAND,THAILAND,Shrimp equivalents,929611.33,189.396
2014,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,THAILAND,THAILAND,Shrimp equivalents,795434.22,126.702
2015,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,THAILAND,THAILAND,Shrimp equivalents,1472547.05,301.842
2017,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,THAILAND,THAILAND,Shrimp equivalents,12000,2.4
2017,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,UKRAINE,UKRAINE,Shrimp equivalents,274079.4,64.008
2014,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Shrimp equivalents,193620.72,34.86
2014,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,1046739.06,176.292
2015,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,259292.16,44.28
2017,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,281760,43.2
2013,ARGENTINA,PUERTO MADRYN,LANZAL S A,LANZAL S A,VIETNAM,VIETNAM,Shrimp equivalents,96424.23,15.552
2013,ARGENTINA,PUERTO MADRYN,LIU CHIA YU,LIU CHIA YU,SPAIN,EUROPEAN UNION,Shrimp equivalents,357885,64.115
2014,ARGENTINA,PUERTO MADRYN,LIU CHIA YU,LIU CHIA YU,SPAIN,EUROPEAN UNION,Shrimp equivalents,138168,101.742
2013,ARGENTINA,PUERTO MADRYN,LIU LI WEI,LIU LI WEI,SPAIN,EUROPEAN UNION,Shrimp equivalents,443730,77.631
2014,ARGENTINA,PUERTO MADRYN,MARCOPESA S A,MARCOPESA S A,CAPE VERDE,CAPE VERDE,Shrimp equivalents,24482.4,5.016
2017,ARGENTINA,PUERTO MADRYN,MARITIMA MONACHESI S A,MARITIMA MONACHESI S A,BELGIUM,EUROPEAN UNION,Shrimp equivalents,167280,24
2015,ARGENTINA,PUERTO MADRYN,MERIDIAN S A,MERIDIAN S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,434934,77.988
2015,ARGENTINA,PUERTO MADRYN,MERIDIAN S A,MERIDIAN S A,DENMARK,EUROPEAN UNION,Shrimp equivalents,298782.84,66.8364
2014,ARGENTINA,PUERTO MADRYN,MERIDIAN S A,MERIDIAN S A,FRANCE,EUROPEAN UNION,Shrimp equivalents,178860,24
2014,ARGENTINA,PUERTO MADRYN,MERIDIAN S A,MERIDIAN S A,UNITED STATES,UNITED STATES,Shrimp equivalents,163059,22.848
2017,ARGENTINA,PUERTO MADRYN,MERIDIAN S A,MERIDIAN S A,VIETNAM,VIETNAM,Shrimp equivalents,173060.16,27
2013,ARGENTINA,PUERTO MADRYN,MONZON SARA BEATRIZ,MONZON SARA BEATRIZ,UNITED STATES,UNITED STATES,Shrimp equivalents,68996,9.5
2017,ARGENTINA,PUERTO MADRYN,MYS BROKERS S A,MYS BROKERS S A,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,116237.52,23.868
2017,ARGENTINA,PUERTO MADRYN,MYS BROKERS S A,MYS BROKERS S A,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Shrimp equivalents,119801.16,24.012
2013,ARGENTINA,PUERTO MADRYN,NEDAR S.A.,NEDAR S.A.,JAPAN,JAPAN,Shrimp equivalents,290154,46.2
2014,ARGENTINA,PUERTO MADRYN,NEDAR S.A.,NEDAR S.A.,JAPAN,JAPAN,Shrimp equivalents,138750,44.4
2017,ARGENTINA,PUERTO MADRYN,NEDAR S.A.,NEDAR S.A.,SPAIN,EUROPEAN UNION,Shrimp equivalents,269712,44.04
2013,ARGENTINA,PUERTO MADRYN,NEDAR S.A.,NEDAR S.A.,THAILAND,THAILAND,Shrimp equivalents,151800,24
2014,ARGENTINA,PUERTO MADRYN,NEDAR S.A.,NEDAR S.A.,THAILAND,THAILAND,Shrimp equivalents,140415,44.4
2013,ARGENTINA,PUERTO MADRYN,NEDAR S.A.,NEDAR S.A.,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,414312.79,60.62934
2014,ARGENTINA,PUERTO MADRYN,NEDAR S.A.,NEDAR S.A.,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,1764504.59,313.042285714286
2015,ARGENTINA,PUERTO MADRYN,NEDAR S.A.,NEDAR S.A.,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,504252,72.036
2013,ARGENTINA,PUERTO MADRYN,NEDAR S.A.,NEDAR S.A.,UNITED STATES,UNITED STATES,Shrimp equivalents,94989.6,9.972
2013,ARGENTINA,PUERTO MADRYN,NESSA HUMBERTO JORDAN,NESSA HUMBERTO JORDAN,CANADA,CANADA,Shrimp equivalents,64389.6,12.276
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ALBANIA,ALBANIA,Shrimp equivalents,414720,72
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ALBANIA,ALBANIA,Shrimp equivalents,132277.2,21.864
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ALGERIA,ALGERIA,Shrimp equivalents,67606.8,10.008
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,AZERBAIJAN,AZERBAIJAN,Shrimp equivalents,231521.05,22.0019
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,BELGIUM,EUROPEAN UNION,Shrimp equivalents,1468929.59,216.888
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,BELGIUM,EUROPEAN UNION,Shrimp equivalents,663601.2,89.064
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,BELGIUM,EUROPEAN UNION,Shrimp equivalents,160523.22,22.737
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,CANADA,CANADA,Shrimp equivalents,1073099.94,88.0032
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,CANADA,CANADA,Shrimp equivalents,265047.56,20.70684
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,42924,7.008
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,632603.99,70.188
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,5361183.49,821.03
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,4804218.01,855.917692307692
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,DENMARK,EUROPEAN UNION,Shrimp equivalents,569825.99,43.0732
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Shrimp equivalents,216000,24
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Shrimp equivalents,138237,16.788
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,EGYPT,EGYPT,Shrimp equivalents,598787.04,105.108
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,EGYPT,EGYPT,Shrimp equivalents,1614637.56,436.044
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,EGYPT,EGYPT,Shrimp equivalents,2034761.52,451.956
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,FRANCE,EUROPEAN UNION,Shrimp equivalents,557933.88,76.6137183783784
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,FRANCE,EUROPEAN UNION,Shrimp equivalents,1396939.4,193.75482
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,FRANCE,EUROPEAN UNION,Shrimp equivalents,1443443.91,223.02936
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,FRANCE,EUROPEAN UNION,Shrimp equivalents,397904.64,66.024
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,GERMANY,EUROPEAN UNION,Shrimp equivalents,360745.92,46.608
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,GREECE,EUROPEAN UNION,Shrimp equivalents,183116.52,24
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,GREECE,EUROPEAN UNION,Shrimp equivalents,145053,24
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,GREECE,EUROPEAN UNION,Shrimp equivalents,540039,92.004
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,GUATEMALA,GUATEMALA,Shrimp equivalents,4202863.41,623.688
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,INDIA,INDIA,Shrimp equivalents,641745.36,96.36696
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,INDONESIA,INDONESIA,Shrimp equivalents,270816,43.68
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ISRAEL,ISRAEL,Shrimp equivalents,333730.44,34.812
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ISRAEL,ISRAEL,Shrimp equivalents,148080,18
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ISRAEL,ISRAEL,Shrimp equivalents,164568,21.6
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ITALY,EUROPEAN UNION,Shrimp equivalents,3701109.61,594.721776576577
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ITALY,EUROPEAN UNION,Shrimp equivalents,13258904.74,1868.28285
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ITALY,EUROPEAN UNION,Shrimp equivalents,18099397.83,2910.23977429952
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,ITALY,EUROPEAN UNION,Shrimp equivalents,3429386.86,698.49
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,JAPAN,JAPAN,Shrimp equivalents,955416,128.690666666667
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,JAPAN,JAPAN,Shrimp equivalents,335985.6,44.196
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,JAPAN,JAPAN,Shrimp equivalents,6545605.8,1290.348
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,JAPAN,JAPAN,Shrimp equivalents,6234765.6,1239.876
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,LEBANON,LEBANON,Shrimp equivalents,899553.96,144
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,LEBANON,LEBANON,Shrimp equivalents,644216.64,236.58
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,LEBANON,LEBANON,Shrimp equivalents,171600,24
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,MALAYSIA,MALAYSIA,Shrimp equivalents,764.4,0.12
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,MALAYSIA,MALAYSIA,Shrimp equivalents,690619.91,93.264
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,MALAYSIA,MALAYSIA,Shrimp equivalents,1023969.35,144.012
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,MOROCCO,MOROCCO,Shrimp equivalents,339261.31,52.824
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,173318.4,27.9095652173913
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,194003.16,24
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,262915.2,42.672
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,158779.92,22.908
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SINGAPORE,SINGAPORE,Shrimp equivalents,101064,13.008
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,603059.4,82.5
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,148320,24
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,564983.52,98.016
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,149760,24
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,188640,72
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,5605570.84,876.055243243244
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,25505202.32,4058.11575857142
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,15252101.35,2552.18532
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,6792829.99,1456.23
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,TAIWAN,TAIWAN,Shrimp equivalents,184766.41,21.996
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,TAIWAN,TAIWAN,Shrimp equivalents,132048,22.008
2013,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,THAILAND,THAILAND,Shrimp equivalents,328300.8,44.412
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,THAILAND,THAILAND,Shrimp equivalents,145200,24
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,THAILAND,THAILAND,Shrimp equivalents,448065.6,64.62
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,THAILAND,THAILAND,Shrimp equivalents,1257207.45,171.646
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,TURKEY,TURKEY,Shrimp equivalents,5191.2,0.504
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,UKRAINE,UKRAINE,Shrimp equivalents,186000,72
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,225619.2,24.7062857142857
2014,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,UNITED STATES,UNITED STATES,Shrimp equivalents,259896.95,28.368
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,UNITED STATES,UNITED STATES,Shrimp equivalents,144772.8,21.996
2015,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,VIETNAM,VIETNAM,Shrimp equivalents,1012572,163.895652173913
2017,ARGENTINA,PUERTO MADRYN,NEWSAN SA.,NEWSAN SA.,VIETNAM,VIETNAM,Shrimp equivalents,2089585.53,344.694
2013,ARGENTINA,PUERTO MADRYN,PC-ARTS ARGENTINA S.A.,PC-ARTS ARGENTINA S.A.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,332436,45.528
